0.000841671	0.000802376
0.00207219	0.00136923
0.00346215	0.00193608
0.00485457	0.00250292
0.00617014	0.00306977
0.00736546	0.00363662
0.00841021	0.00420347
0.00930378	0.00477032
0.0100549	0.00533717
0.0106862	0.00590402
0.0112257	0.00647087
0.0116425	0.00696484
0.0119713	0.00738593
0.0122314	0.00773413
0.0124325	0.00800946
0.0125789	0.00821191
0.0126724	0.00834147
0.0128068	0.00852772
0.0129532	0.00873017
0.0131541	0.0090055
0.0134126	0.0093537
0.0137344	0.00977479
0.014129	0.0102688
0.0146093	0.0108356
0.0151235	0.0114025
0.0156752	0.0119693
0.0162667	0.0125362
0.0168997	0.013103
0.0175737	0.0136699
0.0182804	0.0142367
0.0190546	0.0148036
0.0198585	0.0153704
0.0207035	0.0159373
0.0215888	0.0165041
0.0225135	0.017071
0.0234763	0.0176378
0.024476	0.0182047
0.0255111	0.0187715
0.0265804	0.0193384
0.0276825	0.0199052
0.0288161	0.020472
0.0299799	0.0210389
0.0311728	0.0216057
0.0323933	0.0221726
0.0336405	0.0227394
0.0349131	0.0233063
0.0362103	0.0238731
0.0375308	0.02444
0.0388736	0.0250068
0.040238	0.0255737
0.041623	0.0261405
0.0430277	0.0267074
0.0444512	0.0272742
0.0458929	0.0278411
0.0473519	0.0284079
0.0488276	0.0289748

